,content,country-birth,rhyme,met
0,"Aquellas manos de la esposa ausente,
blancas palomas, tibias de ternura,
que saben reducir mi calentura
sólo con reposar sobre mi frente.
¡Ay!, qué lejos estoy del diligente,
suave contacto que mitiga y cura
y en estas largas noches de tortura
cómo os llamé desesperadamente
¡Milagroso cordial! Manos amadas,
que estoy, en mi ceguera, calumniando,
pues, aunque ahora no mullen mis almohadas,
con celo maternal, mimoso y blando
con que estén -¡y no hay duda!- entrelazadas,
pidiendo a Dios por mí, me están curando.
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['-+-+---+-+-', '+--+-+---+-', '-+---+---+-', '+----+---+-', '-++--+---+-', '+--+---+-+-', '-+-+-+---+-', '++-+---+-+-', '--+--++--+-', '-+---+---+-', '--+-++---+-', '-+---+-+-+-', '--+-++---+-', '-+-+-+++-+-']"
1,"Este que en decoroso monumento,
siendo ceniza, se habilita llama,
al peso que da luces a la fama,
añade compasión al sentimiento.
Fue su accidente su merecimiento,
no el dolor fue el veneno que le inflama,
que a quien grande la voz del orbe aclama,
parece que el vivir dura violento.
Este es el mismo llanto y el llorado;
sus méritos dirá su infeliz suerte,
no tuvo que envidiar, y fue envidiado.
Su admiración en llanto se convierte,
de todos fue en la vida venerado,
y nadie le premió, sino es la muerte.
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['+----+---+-', '+--+---+-+-', '-+--++---+-', '-+---+---+-', '+--+-----+-', '+-++-+--++-', '--+--+-+-+-', '-+---++--+-', '++-+-+---+-', '-+---+--++-', '++---+-+-+-', '---+-+---+-', '-+-+-+---+-', '-+-+-+-+-+-']"
2,"Es un señor de medieval grandeza
Que a todos brinda sus galantes dones,
Tiene un altar radiante a la belleza
Y es fuego vivo en nuestros corazones.
Con prodigiosa y sin igual largueza
Reparte sus tesoros y blasones,
Es por su estirpe y su inmortal proeza
El mago dios de nuestras ilusiones.
¿Qué hay de extraño que avive la existencia
Si anuncia con clarines la opulencia
Y su reinado arranca un madrigal?
Y es que es dios y es aliento de la vida
Con algo espiritual y muy panilla.
El señor poderoso carnaval.
",0,"['A', 'B', 'A', 'B', 'A', 'B', 'A', 'B', 'C', 'C', 'D', '-', '-', 'D']","['++-+---+-+-', '-+-+---+-+-', '++-+-+---+-', '++-+-----+-', '---+---+-+-', '-+---+---+-', '+--+---+-+-', '-+-+-----+-', '+-+--+---+-', '-+---+---+-', '---+-++--+-', '++++-+---+-', '-+---+-+-+-', '--+--+---+-']"
3,"Símbolo de pureza que retratas
el cándido crisol de la inocencia;
hoy del veneno la sutil violencia
ha de besar el néctar que desatas
Muerte dieron a un Sol con lo que matas,
benévolo sin duda en la apariencia,
disfrazó en el candor de su inocencia,
la sagrada mortal que ya dilatas.
Venganzas son de una inocencia pura,
apurando el cendal de los rigores,
transforme tu fiereza en la hermosura.
Que es bien, si la malicia en sus errores,
y la inocencia halló sombra segura,
de vague la inocencia entre candores.
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['+----+---+-', '-+---+---+-', '+--+---+-+-', '---+-+---+-', '+-+-++---+-', '-+---+---+-', '--+--+---+-', '--+--+-+-+-', '-+-++--+-+-', '--+--+---+-', '-+---+---+-', '++---+---+-', '---+-++--+-', '-+---+---+-']"
4,"«Victorioso laurel, Dafne esquiva,
en cuyas verdes hojas la memoria
de tu desdén y de mi triste historia
quiere el amor que eternamente viva:
La antigua palma y la abundosa oliva,
a ti de hoy más inclinarán su gloria;
tú ceñirás en premio de victoria
del fuerte vencedor la frente altiva »
Dijo el crinado Apolo, y a la dura
corteza asido, la contempla, y luego
repite: «¡Dafne fiera! ¡Mármol frío!
Del rayo ardiente vivirás segura;
que no es bien que consienta ajeno fuego
quien pudo resistir el fuego mío »
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['--+--++--+-', '---+-+---+-', '---+---+-+-', '+--+-+-+-+-', '-+-+---+-+-', '-+++---+-+-', '+--+-+---+-', '-+---+-+-+-', '+--+-+---+-', '-+-+-+-+-+-', '-+-+--+-+-', '-+-+---+-+-', '-++--+-+-+-', '-+---+-+-+-']"
5,"Al dulce premio y palma afortunada,
a quien le siga fiel, amor convida;
palma con tiernas ansias merecidas,
palma, al fino querer solo acordada:
Llegaste, y tu ternura y fe preciada
juraste con afecto a tu querida;
¿cómo no te pagara agradecida,
si en su favor su gloria ve cifrada?
Muestras dando de amor a los amantes,
ejemplos ofreciendo de confianza,
modelos de inocencia presentando;
así enseñaste a los que son constantes,
a alimentar su amor en la esperanza,
venturas sin medida acumulando.
",1,"['A', 'B', '-', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['-+-+-+---+-', '--++-+-+-+-', '+--+-+---+-', '+-+--++--+-', '-+---+-+-+-', '-+---+---+-', '+-++-+---+-', '---+-+-+-+-', '+-+--+---+-', '-+---+---+-', '-+---+---+-', '-+-+---+-+-', '---+-+---+-', '-+---+---+-']"
6,"«Tú, de la noche gloria y ornamento,
errante luna, que oyes mis querellas,
y vosotras, clarísimas estrellas,
luciente honor del alto firmamento.
Pues han subido allá de mi lamento
el son y de mi fuego las centellas,
sienta vuestra piedad, ¡oh luces bellas!
Si la merece, mi amoroso intento »
Esto diciendo, deja el patrio muro
el desdichado Píramo, y de Nino
corre al sepulcro donde Tisbe espera
¡Pronóstico infeliz! ¡Presagio duro
de infaustas bodas, si ordenó el destino
que un túmulo por tálamo escogiera!
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['+--+-+---+-', '-+-+-+---+-', '--+--+---+-', '-+-+-+---+-', '-+-+-+---+-', '-+---+---+-', '+----+-+-+-', '-+-+---+-+-', '+--+-+-+-+-', '---+-+---+-', '+--+---+-+-', '-+----++-', '-+-+---+-+-', '++---+---+-']"
7,"Los campos de Madrid, Isidro santo,
logran cristales, Ángeles y cielo,
fruto de los que siembran en el suelo
contento y gusto entre oración y llanto
Aran por vos los Ángeles en cuanto
lloráis y aráis con vuestro amor y celo,
que quien cultiva en lágrimas desvelo,
corre al empíreo a Dios el velo, en tanto.
Surca Isidro la tierra, siembra y llora,
el fruto de sus lágrimas tributo,
es gloria donde anima, donde adora.
Que el alma en Dios y el rostro nunca enjuto
le dieron como perlas de la Aurora,
sembrando aquí sus lágrimas el fruto
",2,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['-+---+-+-+-', '+--+-+---+-', '+----+---+-', '-+-+---+-+-', '+--+-+---+-', '-+-+---+-+-', '---+-+---+-', '+--+-+-+-+-', '+-+--+-+-+-', '-+---+---+-', '++---+---+-', '-+-+-+-+-+-', '++---+---+-', '-+-+-+---+-']"
8,"En la estepa maldita, bajo el peso
de sibilante grisa que asesina,
irgues tu talla escultural y fina,
como un relieve en el confín impreso
El viento, entre los médanos opreso,
cantan como una música divina,
y finge, bajo la húmeda neblina,
un infinito y solitario beso.
Vibran en el crepúsculo tus ojos,
un dardo negro de pasión y enojos
que en mi carne y mi espíritu se clava;
y, destacada contra el sol muriente,
como un airón florando inmensamente,
tu bruna cabellera de india brava.
",4,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'C', 'D', 'E', 'E', 'D']","['--+--+---+-', '---+-+---+-', '+--+---+-+-', '-+-+---+-+-', '-+---+---+-', '+--+-+---+-', '-+---+---+-', '+--+---+-+-', '+----+---+-', '++-+---+-+-', '--+--+---+-', '---+---+-+-', '-+-+-+-+-+-', '-+---+-+-+-']"
9,"Ciertamente un alivio al caminante
brinda este libro con amor fraterno,
mediante el cual un clásico moderno,
resucita a la lírica expirante
Caudal, inspiración, forma elegante,
todo es aquí, sin duda sempiterno;
porque el autor al gusto subalterno,
jamás la frente le doblo arrogante.
Leedlo, sí, que vuestra vida es prosa,
y lucha, sinsabor, odio y mentira
desde la cuna al borde de la fosa.
Mas, como el hombre la belleza aspira,
y aun del ateo la belleza es Diosa,
consuelo siempre encontrará en la lira.
",6,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['+-++-+---+-', '++-+---+-+-', '----++---+-', '--+--+---+-', '-+---++--+-', '++-+-+---+-', '---+-+---+-', '-+-+-++--+-', '+++---+-++-', '-+---++--+-', '---+-+---+-', '---+---+-+-', '+--+--+-++-', '-+-+---+-+-']"
