,content,normdate,rhyme,met
0,"Madre de Dios eterno, norte y guía
de los que en este siglo tenebroso
corren por mar incierto y peligroso
con mal segura nave y compañía
¿Cuándo será el feliz y alegre día
en que mi corazón triste y penoso
halle a su largo error libre reposo
y cobre nuevo aliento y alegría?
Hoy, libre de los hierros y cadena,
en que me tuvo el viejo, a noble vuelo
me remonto del mundo y sus engaños
¿Cuándo de tu piedad la luz serena
hará que vuele puro al alto cielo,
ahuyentada la niebla de mis daños?
",1,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['--+--+-+-+-', '---+-+---+-', '+--+-+---+-', '-+-+-+---+-', '+--+-+-+-+-', '-----++--+-', '+--+-++--+-', '-+-+-+---+-', '++---+---+-', '--++-+-+-+-', '+-+--+---+-', '+----+-+-+-', '-+-+-+-+-+-', '--+--+---+-']"
1,"Se agita el hombre en la mundana vida
mezquino y ambicioso y altanero;
maligno el corazón, el labio artero,
donde no tiene la verdad cabida.
En él encuentra fácil acogida
la envidia y el desdén su compañero,
y aunque el semblante muestre lisonjero
su amor es falso y su virtud mentida
Del campo en las sombrosas espesuras
¡qué distinto espectáculo se ofrece!
allí al impulso de las brisas puras
y a la sombra del árbol que florece,
sin odios, ni zozobras, ni amarguras,
el alma se transporta y engrandece.
",4,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['-+-+---+-+-', '-+--+----+-', '-+---+-+-+-', '--++---+-+-', '-+-+-+---+-', '-+---+---+-', '---+-+---+-', '-+++---+-+-', '-+---+---+-', '+-+--+---+-', '-+-+---+-+-', '--+--+---+-', '-+---+---+-', '-+---+---+-']"
2,"Como un chorro de fuego, de la altura,
diamantina cascada al mundo arroja
del sol la esfera coruscante y roja
y, al beso ardiente de su lumbre pura,
canta su amor el ave en la espesura,
se abre la nueva flor, tiembla la hoja,
y del henchido grano se despoja
la seca espiga de la mies madura
En busca de la sombra va el ganado;
al aprisco sus pasos acelera
mordiscando al pasar la yerba erguida
Y el rudo labrador deja el arado
y va al rústico hogar donde le espera
la amante esposa y la frugal comida
",4,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['-++--+---+-', '--+--+-+-+-', '-+-+---+-+-', '-+-+---+-+-', '+--+-+---+-', '+--+-++--+-', '---+-+---+-', '-+-+---+-+-', '-----+-+-+-', '--+--+---+-', '--+--+-+-+-', '-+---++--+-', '-++--+--++-', '-+-+---+-+-']"
3,"¿No es delirio, Señor? Tú, el absoluto
en belleza, poder, inteligencia;
Tú, de quien es la perfección esencia
y la felicidad santo atributo;
Tú, a mí -que nazco y muero como el bruto-
Tú, a mí -que el mal recibo por herencia-
Tú, a mí -precario ser, cuya impotencia
sólo estéril dolor tiene por fruto
¿Tú me buscas ¡oh Dios! Tú el amor mío
te dignas aceptar como victoria
ganada por tu amor a mi albedrío?
¡Sí! no es delirio; que a la humilde escoria,
digno es de tu supremo poderío
hacer capaz de acrecentar tu gloria!
",4,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['+-+--+---+-', '--+--+---+-', '+--+---+-+-', '-----++--+-', '++-+-+---+-', '++-+-+---+-', '++-+-+---+-', '+-+--++--+-', '+++--+--++-', '++---+---+-', '-+---+---+-', '++-+---+-+-', '++---+---+-', '-+-+---+-+-']"
4,"Cuando viene a misar el padre cura
a la nave risueña y aliñada,
penetra con el sol una parvada
de palomas que anidan en la altura
Desata el piano su oración alada,
y del gótico altar en la blancura
cándida, leve, inmaterial y pura
se levanta la Forma consagrada
Canta entonces el Blanco sus cantares;
son blancos: alas, nave, luz, altares,
hostia, cura senil, incienso vago;
y en esa nitidez que al hielo enoja,
agresiva y vivaz, llameante, roja,
se destaca la veste del monago.
",4,"['A', 'B', 'B', 'A', 'B', 'A', 'A', 'B', 'C', 'C', 'D', 'E', 'E', 'D']","['--+--+-+-+-', '--+--+---+-', '-+---++--+-', '--+--+---+-', '-+-+---+-+-', '--+--+---+-', '+--+---+-+-', '--+--+---+-', '+-+--+---+-', '++-+-+-+-+-', '+-+--+-+-+-', '-+---+-+-+-', '--+--+-+-+-', '--+--+---+-']"
5,"No tanto de placer queda colmada
la ansiedad del cansado caminante,
cuando alzando los ojos ve delante
las torres de la villa deseada;
ni con júbilo igual ve recobrada
su libertad la tortolilla amante,
volando al dulce nido en el instante
que rota ve la pérfida lazada;
como al ver la bondad y gracia unida
de Carlos y Francisca, alegre aclama
la imprenta a su favor agradecida.
Las letras sirven bien a quien las ama:
tiempo vendrá en que paguen su venida
con la inmortalidad y con la fama.
",3,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'C', 'D', 'C', 'D']","['++---++--+-', '--+--+---+-', '--+--+-+-+-', '-+---+---+-', '--+--++--+-', '---+---+-+-', '-+-+-+---+-', '-+-+-+---+-', '--+--+-+-+-', '-+---+-+-+-', '-+---+---+-', '-+-+-+---+-', '+--+-+---+-', '-----+---+-']"
6,"Puro y Luciente sol, ¡oh, qué consuelo
al alma mía en tu presencia ofreces,
cuando con rostro cándido esclareces
la oscura sombra del nocturno velo!
¡Oh, cómo animas el marchito suelo
con benéfica llama! Y ¡cómo creces
inmenso y luminoso, que pareces
llenar la tierra, el mar, el aire, el cielo!
¡Oh sol! Entra en la espléndida carrera
que te señala el dedo omnipotente,
al asomar por las etéreas cumbres;
y tu increado Autor piadoso quiera,
que desde oriente a ocaso eternamente
pueblos felices en tu curso alumbres!
",3,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['+--+-+-+-+-', '-+----+--+-', '---+-+---+-', '-+-+---+-+-', '-+-+---+-+-', '--+--+-+-+-', '-+---+---+-', '-+-+-+-+-+-', '-+---+---+-', '-+-+-+---+-', '---+---+-+-', '--+--+-+-+-', '---+-+-+-+-', '+--+---+-+-']"
7,"Señores: es la Misa. El Sacerdote sumo
va a abrir el misal de la Noche y del Día:
subirá la oración en espirales de humo
en esta esplendorosa catedral de poesía.
Rosas de fuego brotan en el solar cristiano
que un palio everdescente y musical sombrea:
en cada sien rutila el yelmo castellano
y grana en los cerebros el germen de una idea.
Los filipinos saben del bello rosicler,
de lo que dice el día a la tarde muriente,
del suspiro que duerme en pecho de mujer;
comulgan con la luna tras de adorar al sol,
saben hacer el signo de la cruz en la frente
y mueren, como nacen, hablando el español.
",4,"['A', 'B', 'A', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'G', 'F', 'G']","['-+-+-+----+-+-', '+--+--+--+--+-', '--+--+----+-+-', '-+---+---+--+-', '+--+-+----+-+-', '++---+----+-+-', '-+-+-+--+---+-', '-+---+--+-+-+-', '---+-+--+---+-', '---+-+---+--+-', '--+--+--+---+-', '-+---+----+-+-', '+--+-+---+--+-', '-+---+--+---+-']"
8,"¿Ves la instabilidad de nuestra vida
al llorar triste, y al reír suave?
¿Ves la facilidad que muestra el ave
al redimir su libertad perdida?
¿Ves la espuma del mar blanca y crecida
al desgajarse del torrente grave?
¿Ves al pe, ves el agua, ves la nave?
Pues todos son retratos tuyos Lyda.
Fuiste mujer en todas tus acciones
y el que en ti no esperó tal desvarío,
ya llora el suyo, porque al fin lo eres.
Mas vosotras que oís estas razones
vida, ave, espuma, pez, agua, navío,
perdonad, si os comparo a las mujeres.
",1,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'D', 'E', 'C', 'D', 'E']","['+----+---+-', '--++----++-', '+----+-+-+-', '---+---+-+-', '+-+--++--+-', '---++--+-+-', '+-++-+-+-+-', '-+-+-+---+-', '+--+-+---+-', '--++-++--+-', '++-----+++-', '--+--++--+-', '++-+-++--+-', '--++-+---+-']"
9,"Vida de asceta, mística y sencilla,
no es para mí, la material riqueza,
por siempre he de soñar en la terneza
de quien te hizo, ¡oh dulce florecilla!
Así de lago o mar, cuando a la orilla
puedo pensar de música o belleza,
si con el alma miro la grandeza
de algún astro que en alto cielo brilla,
¿seré yo pobre?, ¡ay no! ¡Oh ruiseñores!,
¡Oh sol, poniente!, ¡oh nubes!, ¡oh colores
que no sois para mí! ¡Oh noche oscura!,
al saber de esos astros la alta ciencia
¿por qué dudar de Dios en su clemencia
me dará un rayo de su lumbre pura?
",4,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'C', 'C', 'D', 'E', 'E', 'D']","['+--+-+---+-', '+--+---+-+-', '-++--+---+-', '--+--+---+-', '-+-+-+---+-', '+--+-+---+-', '---+-+---+-', '-++--+-+-+-', '-+++--+--+-', '-+-+-+---+-', '-++--++--+-', '--++-+-+-+-', '-+-+-+---+-', '+-++---+-+-']"
